Symbol,Name
POLYMED.NS,Poly Medicure Ltd.
POONAWALLA.NS,Poonawalla Fincorp Ltd.
RRKABEL.NS,R R Kabel Ltd.
RBLBANK.NS,RBL Bank Ltd.
RHIM.NS,RHI MAGNESITA INDIA LTD.
RITES.NS,RITES Ltd.
RAILTEL.NS,Railtel Corporation Of India Ltd.
RAINBOW.NS,Rainbow Childrens Medicare Ltd.
RKFORGE.NS,Ramkrishna Forgings Ltd.
REDINGTON.NS,Redington Ltd.
RPOWER.NS,Reliance Power Ltd.
SBFC.NS,SBFC Finance Ltd.
SAGILITY.NS,Sagility Ltd.
SAILIFE.NS,Sai Life Sciences Ltd.
SAMMAANCAP.NS,Sammaan Capital Ltd.
SAPPHIRE.NS,Sapphire Foods India Ltd.
SARDAEN.NS,Sarda Energy and Minerals Ltd.
SAREGAMA.NS,Saregama India Ltd
SCHNEIDER.NS,Schneider Electric Infrastructure Ltd.
SCI.NS,Shipping Corporation of India Ltd.
SHYAMMETL.NS,Shyam Metalics and Energy Ltd.
SIGNATURE.NS,Signatureglobal (India) Ltd.
SOBHA.NS,Sobha Ltd.
SONACOMS.NS,Sona BLW Precision Forgings Ltd.
SONATSOFTW.NS,Sonata Software Ltd.
STARHEALTH.NS,Star Health and Allied Insurance Company Ltd.
SUMICHEM.NS,Sumitomo Chemical India Ltd.
SUNTV.NS,Sun TV Network Ltd.
SPLPETRO.NS,Supreme Petrochem Ltd.
SWANCORP.NS,Swan Corp Ltd.
SYNGENE.NS,Syngene International Ltd.
SYRMA.NS,Syrma SGS Technology Ltd.
TBOTEK.NS,TBO Tek Ltd.
TATACHEM.NS,Tata Chemicals Ltd.
TATATECH.NS,Tata Technologies Ltd.
TTML.NS,Tata Teleservices (Maharashtra) Ltd.
TECHNOE.NS,Techno Electric & Engineering Company Ltd.
TEGA.NS,Tega Industries Ltd.
TEJASNET.NS,Tejas Networks Ltd.
TENNIND.NS,Tenneco Clean Air India Ltd.
RAMCOCEM.NS,The Ramco Cements Ltd.
